provider_id,provider_name,provider_type,tier,country,institutional_owner,homepage,catalog_url,search_url,api_docs_url,api_base_url,bulk_data_url,metadata_download_url,terms_url,rights_url,credential_required,api_key_required,bulk_access_available,commercial_reuse_notes,redistribution_notes,preferred_ingestion_method,verification_status
al_maktaba_al_shamela,Al-Maktaba al-Shamela (shamela.ws),community_digital_library,TIER6,Community project (launched Saudi/Gulf-region user base per Wikipedia),Al-Maktaba al-Shamela Foundation,https://shamela.ws,https://shamela.ws,https://shamela.ws,NOT_OFFICIALLY_PUBLISHED - only third-party reverse-engineered API wrappers found,third-party only (unofficial),NOT_AVAILABLE_OFFICIALLY,NOT_AVAILABLE_OFFICIALLY,UNVERIFIED - no public terms/license page located this session,UNVERIFIED,UNVERIFIED,FALSE,UNVERIFIED,"Large Arabic classical-text library (desktop/mobile app plus website) since 2005; several third-party libraries exist to read/download its v4 API, but no official redistribution license was located",No official redistribution rights confirmed this session; OpenITI has already separately sourced and rights-cleared a number of texts that originated from Shamela (see OpenITI URI convention e.g. ...Shamela0006896-ara1) - PREFER pulling those titles via OpenITI rather than scraping Shamela directly,NEEDS_LICENSE_REVIEW_do_not_bulk_scrape_prefer_OpenITI_where_overlap_exists,PARTIALLY_VERIFIED_2026-09-23
aladhan_api,AlAdhan API (prayer times),utility_api_non_bibliographic,N/A,International,Islamic Network / Aladhan.com,https://aladhan.com,N/A,N/A,https://aladhan.com/prayer-times-api,https://api.aladhan.com,N/A,N/A,UNVERIFIED,per site,FALSE,FALSE,N/A,Not a book/text source - relevant only to the app's /daily prayer-times feature, not the library corpus,Out of scope for this library-acquisition mission except as a note for the /daily route,NOT_A_LIBRARY_SOURCE_route_to_/daily_feature_only
bibliotheca_alexandrina_dar,Bibliotheca Alexandrina - Digital Assets Repository (DAR),national_library_repository,TIER2,Egypt,Bibliotheca Alexandrina,http://www.bibalex.org,http://dar.bibalex.org,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,http://dar.bibalex.org/webpages/aboutdar.jsf,per-item,UNVERIFIED,FALSE,UNVERIFIED,"~24,000 Arabic ebooks reported as full-text open access; separately, ~200,000 Arabic titles offered only as a 5%/min-10-page preview because they remain in copyright",Two-tier collection - open-access subset only should be ingested; preview-only subset is NOT a digital version candidate,item_level_catalog_browse_split_by_access_tier,VERIFIED_2026-09-23 (secondary source: McGill Islamic Studies Library blog),
british_library,British Library,national_library,TIER2,United Kingdom,British Library,https://www.bl.uk,https://searcharchives.bl.uk,https://searcharchives.bl.uk,UNVERIFIED,IIIF manifests observed on digitized records,UNVERIFIED,UNVERIFIED,https://www.bl.uk/help/legal-notices,per item/collection,FALSE,FALSE,UNVERIFIED,Arabic manuscript IIIF verified; blanket reuse rights not established.,Remote read by default pending item rights.,catalog -> IIIF -> item rights,PARTIALLY_VERIFIED_2026-09-23
everyayah_mirror_maqra,everyayah.com Quran recitation archive (verified mirror: Maqra project),community_audio_archive,TIER6,International,Independent (originally versebyversequran.com),https://everyayah.com,https://huggingface.co/maqra-project,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://huggingface.co/datasets/maqra-project/maqra,per-reciter _upstream notes,per-reciter (several explicitly state UNKNOWN license),UNVERIFIED,FALSE,FALSE,TRUE,At least one reciter set's upstream note states the recitation license is literally 'UNKNOWN'; the only found written terms (for timing files) require backlink attribution and do not resolve to a live license page,DO NOT treat wide mirroring (incl. an Internet Archive copy) as evidence of redistribution rights - mirror maintainers themselves say they 'grant no rights ... because they hold none',treat_as_NEEDS_LICENSE_REVIEW_per_reciter_contact_original_rights_holder_before_ingestion,VERIFIED_2026-09-23
gallica_bnf,Gallica / Bibliothèque nationale de France,national_library,TIER2,France,Bibliothèque nationale de France,https://gallica.bnf.fr,https://gallica.bnf.fr,https://gallica.bnf.fr/services/engine/search/sru,https://api.bnf.fr,https://gallica.bnf.fr/services/engine/search/sru,http://oai.bnf.fr/oai2/OAIHandler,https://api.bnf.fr/fr/node/215,https://gallica.bnf.fr/edit/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/edit/und/conditions-dutilisation-des-contenus-de-gallica,FALSE,FALSE,TRUE,Documented metadata datasets can carry French Open Licence; digitized-content conditions are separate.,"IIIF is technical access, not a blanket licence.",SRU/OAI -> ARK -> IIIF -> rights review,VERIFIED_2026-09-23_SRU_OAI_IIIF
geonames_osm_nasa,GeoNames / OpenStreetMap / NASA Earthdata,utility_geospatial_apis_non_bibliographic,N/A,International,Respective open projects,https://www.geonames.org ; https://www.openstreetmap.org ; https://earthdata.nasa.gov,N/A,N/A,per-project,per-project,per-project,per-project,per-project (mostly open/ODbL/CC),per-project,FALSE,FALSE,TRUE,Standard open geodata licenses (varies by project),"Not book/text sources - relevant only if /seerah adds historical maps (e.g. Hijra route, campaign maps) as a later feature",NOT_A_LIBRARY_SOURCE_route_to_future_/seerah_maps_feature_only,NOTED_NOT_RESEARCHED_IN_DEPTH
google_books,Google Books / Books API,commercial_bibliographic_discovery_platform,TIER5,USA,Google,https://books.google.com,https://books.google.com,https://www.googleapis.com/books/v1/volumes?q={query},https://developers.google.com/books/docs/v1/using,https://www.googleapis.com/books/v1/volumes,NULL,NULL,https://developers.google.com/books/terms,https://developers.google.com/books/docs/v1/reference/volumes,PUBLIC_METADATA_NO_AUTH_HEADER_PER_DOCS,OPERATIONALLY_RECOMMENDED,FALSE_VERIFIED,Country-sensitive accessInfo does not grant redistribution; much Books data is licensed.,Bounded enrichment/remote preview only by default.,low-volume API enrichment + identifiers + remote preview,VERIFIED_2026-09-23_ARCHIVE_EVIDENCE
hathitrust,HathiTrust Digital Library,academic_library_consortium,TIER2,USA / international consortium,HathiTrust,https://www.hathitrust.org,https://catalog.hathitrust.org/,https://catalog.hathitrust.org/Search/Home,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/bibliographic-api/,https://catalog.hathitrust.org/api/volumes/brief/{id_type}/{id_value}.json,https://www.hathitrust.org/files/hathifiles/hathi_file_list.json,https://www.hathitrust.org/files/hathifiles/hathi_file_list.json,https://www.hathitrust.org/the-collection/terms-conditions/,https://www.hathitrust.org/the-collection/search-access/access-use-policy/,FALSE_METADATA; TRUE_RESEARCH_DATASETS,FALSE_METADATA,TRUE_METADATA,HathiTrust bibliographic metadata contributions are CC0 subject to contributor caveats; volume content is item/digitizer/territory specific.,Do not rehost full-view content automatically; Google-digitized content has additional restrictions.,Hathifiles/OAI first; HTID-level rights filtering; Bib API enrichment,VERIFIED_2026-09-23_ARCHIVE_EVIDENCE
huggingface_islamic_scholars_ds,"""Islamic-Scholars-data"" community dataset (Hugging Face, user Mahadih534)",community_dataset,TIER7,Unknown (community contributor),Mahadih534 (Hugging Face user),https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,N/A,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,UNVERIFIED,UNVERIFIED,FALSE,TRUE,UNVERIFIED,UNVERIFIED - provenance/sourcing methodology of the dataset itself is not documented in what was reviewed,"Discovery-only lead for the scholar registry (~40,000+ rows observed); every row must be independently cross-checked against an authority source (Wikidata/VIAF) before use - do not import as-is",cross_reference_against_wikidata_before_any_use,VERIFIED_EXISTENCE_ONLY_2026-09-23,
