work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0001AbuTalibCabdManaf.Diwan,ديوان أبو طالب,Diwan,NULL,0001AbuTalibCabdManaf,أبو طالب,Abu Talib Cabd Manaf,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001AwsIbnHajar.Diwan,ديوان أوس بن حجر,Diwan,NULL,0001AwsIbnHajar,أوس بن حجر,Aws Ibn Hajar,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CalqamaFahl.Diwan,ديوان علقمة الفحل,Diwan,NULL,0001CalqamaFahl,علقمة الفحل,Calqama Fahl,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CamrIbnKulthum.Diwan,ديوان عمرو بن كلثوم,Diwan,NULL,0001CamrIbnKulthum,عمرو بن كلثوم,Camr Ibn Kulthum,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CamrIbnKulthum.Mucallaqa,معلقة عمرو بن كلثوم,Mucallaqa,NULL,0001CamrIbnKulthum,عمرو بن كلثوم,Camr Ibn Kulthum,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CamrIbnMalik.Diwan,ديوان عمرو بن مالك,Diwan,NULL,0001CamrIbnMalik,عمرو بن مالك,Camr Ibn Malik,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CamrIbnQumaya.Diwan,ديوان عمرو بن قميئة,Diwan,NULL,0001CamrIbnQumaya,عمرو بن قميئة,Camr Ibn Qumaya,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CantaraIbnShaddad.Diwan,ديوان عنترة بن شداد,Diwan,NULL,0001CantaraIbnShaddad,عنترة بن شداد,Cantara Ibn Shaddad,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CantaraIbnShaddad.Mucallaqa,معلقة عنترة,Mucallaqa,NULL,0001CantaraIbnShaddad,عنترة بن شداد,Cantara Ibn Shaddad,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001CurwaIbnWard.Diwan,ديوان عروة بن الورد,Diwan,NULL,0001CurwaIbnWard,عروة بن الورد,Curwa Ibn Ward,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
