manuscript_id,work_id,institution,collection,shelfmark,catalog_title,catalog_url,digitized_url,iiif_manifest,folio_count,date,place,scribe,material,script,language,description,rights_statement,rights_url,download_allowed,local_hosting_allowed,attribution,image_resolution,ocr_available,rights_status,source_provider
MS0000Unknown.FieldCT133_4.IEDC1261-mpp1,NULL,مجموعة مجهولة,MS0000Unknown,location unknown (field no. CT-133/4),MS0000Unknown.FieldCT133_4.IEDC1261-mpp1,NULL,NULL,NULL,NULL,NULL,مجهول,NULL,NULL,NULL,mpp,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0000UnknownPrivate.HuartI.IEDC0150-ara1,NULL,مجموعة خاصة,MS0000UnknownPrivate,Huart I,MS0000UnknownPrivate.HuartI.IEDC0150-ara1,NULL,NULL,NULL,NULL,NULL,مجهول,NULL,NULL,NULL,ara,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0000UnknownPrivate.HuartII.IEDC0151-ara1ugo1,NULL,مجموعة خاصة,MS0000UnknownPrivate,Huart II,MS0000UnknownPrivate.HuartII.IEDC0151-ara1ugo1,NULL,NULL,NULL,NULL,NULL,مجهول,NULL,NULL,NULL,"ara,ugo",OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0000UnknownPrivate.HuartIII.IEDC0152-ara1ugo1,NULL,مجموعة خاصة,MS0000UnknownPrivate,Huart III,MS0000UnknownPrivate.HuartIII.IEDC0152-ara1ugo1,NULL,NULL,NULL,NULL,NULL,مجهول,NULL,NULL,NULL,"ara,ugo",OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0000UnknownPrivate.SimsWilliamsJg.IEDC0025-bac1,NULL,مجموعة خاصة,MS0000UnknownPrivate,Sims-Williams jg,MS0000UnknownPrivate.SimsWilliamsJg.IEDC0025-bac1,NULL,NULL,NULL,NULL,NULL,مجهول,NULL,NULL,NULL,bac,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0000UnknownPrivate.SimsWilliamsJj.IEDC0014-bac1,NULL,مجموعة خاصة,MS0000UnknownPrivate,Sims-Williams jj,MS0000UnknownPrivate.SimsWilliamsJj.IEDC0014-bac1,NULL,NULL,NULL,NULL,NULL,مجهول,NULL,NULL,NULL,bac,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0000UnknownPrivate.SimsWilliamsUv.IEDC0013-bac1,NULL,مجموعة خاصة,MS0000UnknownPrivate,Sims-Williams Uv,MS0000UnknownPrivate.SimsWilliamsUv.IEDC0013-bac1,NULL,NULL,NULL,NULL,NULL,مجهول,NULL,NULL,NULL,bac,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0001ChicagoISAC.ISACMA154067FieldCT205_1.IEDC1267-mpp1,NULL,معهد الدراسات المجتمعات القديمة,MS0001ChicagoISAC,ISACM A154067 (field no. CT-205.1),MS0001ChicagoISAC.ISACMA154067FieldCT205_1.IEDC1267-mpp1,NULL,NULL,NULL,NULL,NULL,شيكاغو,NULL,NULL,NULL,mpp,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0001ChicagoISAC.ISACMA154068FieldCT205_4.IEDC1270-mpp1,NULL,معهد الدراسات المجتمعات القديمة,MS0001ChicagoISAC,ISACM A154068 (field no. CT-205/4),MS0001ChicagoISAC.ISACMA154068FieldCT205_4.IEDC1270-mpp1,NULL,NULL,NULL,NULL,NULL,شيكاغو,NULL,NULL,NULL,mpp,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
MS0001ChicagoISAC.ISACMA154069FieldCT205_3a.IEDC1268-mpp1,NULL,معهد الدراسات المجتمعات القديمة,MS0001ChicagoISAC,ISACM A154069 (field no. CT-205/3a),MS0001ChicagoISAC.ISACMA154069FieldCT205_3a.IEDC1268-mpp1,NULL,NULL,NULL,NULL,NULL,شيكاغو,NULL,NULL,NULL,mpp,OpenITI manuscript/document transcription; physical-image rights not inferred.,OpenITI transcription CC BY-NC-SA 4.0; source image/catalog rights separate.,https://kitab-project.org/docs/openITI,TRANSCRIPTION_ALLOWED_BY_LICENSE,NONCOMMERCIAL_BY_NC_SA_ONLY,OpenITI/KITAB + source institution,NULL,False,NEEDS_ITEM_LEVEL_REVIEW,OpenITI 2025.1.9
