person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
0001AbuTalibCabdManaf,أبو طالب,Abu Talib Cabd Manaf,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001AbuTalibCabdManaf,OpenITI 2025.1.9
0001AwsIbnHajar,أوس بن حجر,Aws Ibn Hajar,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001AwsIbnHajar,OpenITI 2025.1.9
0001CalqamaFahl,علقمة الفحل,Calqama Fahl,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001CalqamaFahl,OpenITI 2025.1.9
0001CamrIbnKulthum,عمرو بن كلثوم,Camr Ibn Kulthum,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0001CamrIbnKulthum,OpenITI 2025.1.9
0001CamrIbnMalik,عمرو بن مالك,Camr Ibn Malik,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001CamrIbnMalik,OpenITI 2025.1.9
0001CamrIbnQumaya,عمرو بن قميئة,Camr Ibn Qumaya,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001CamrIbnQumaya,OpenITI 2025.1.9
0001CantaraIbnShaddad,عنترة بن شداد,Cantara Ibn Shaddad,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0001CantaraIbnShaddad,OpenITI 2025.1.9
0001CurwaIbnWard,عروة بن الورد,Curwa Ibn Ward,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001CurwaIbnWard,OpenITI 2025.1.9
0001HajibIbnMudallil,حاجب بن حبيب,Hajib Ibn Mudallil,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001HajibIbnMudallil,OpenITI 2025.1.9
0001HarithIbnHilliza,الحارث بن حلزة,Harith Ibn Hilliza,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0001HarithIbnHilliza,OpenITI 2025.1.9
0001HatimTai,حاتم الطائي,Hatim Tai,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001HatimTai,OpenITI 2025.1.9
0001ImruQaysIbnHujr,امرؤ القيس,Imru Qays Ibn Hujr,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001ImruQaysIbnHujr,OpenITI 2025.1.9
0001LaqitIbnYacmur,لقيط بن يعمر الإيادي,Laqit Ibn Yacmur,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001LaqitIbnYacmur,OpenITI 2025.1.9
0001MuhalhilIbnRabica,مهلهل بن ربيعة,Muhalhil Ibn Rabica,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001MuhalhilIbnRabica,OpenITI 2025.1.9
