duplicate_group_id,work_id,reason,digital_version_ids,count
openiti:0001AbuTalibCabdManaf.Diwan,0001AbuTalibCabdManaf.Diwan,Multiple OpenITI digital versions of one work,0001AbuTalibCabdManaf.Diwan.JK007501-ara1 | 0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,2
openiti:0001AwsIbnHajar.Diwan,0001AwsIbnHajar.Diwan,Multiple OpenITI digital versions of one work,0001AwsIbnHajar.Diwan.JK007502-ara1 | 0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,2
openiti:0001CalqamaFahl.Diwan,0001CalqamaFahl.Diwan,Multiple OpenITI digital versions of one work,0001CalqamaFahl.Diwan.JK007522-ara1 | 0001CalqamaFahl.Diwan.ShamAY0037936-ara1,2
openiti:0001CamrIbnKulthum.Diwan,0001CamrIbnKulthum.Diwan,Multiple OpenITI digital versions of one work,0001CamrIbnKulthum.Diwan.JK007524-ara1 | 0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,2
openiti:0001CamrIbnQumaya.Diwan,0001CamrIbnQumaya.Diwan,Multiple OpenITI digital versions of one work,0001CamrIbnQumaya.Diwan.JK007523-ara1 | 0001CamrIbnQumaya.Diwan.ShamAY0037903-ara1,2
openiti:0001CantaraIbnShaddad.Diwan,0001CantaraIbnShaddad.Diwan,Multiple OpenITI digital versions of one work,0001CantaraIbnShaddad.Diwan.JK007526-ara1 | 0001CantaraIbnShaddad.Diwan.LAL2018100901-ara2 | 0001CantaraIbnShaddad.Diwan.ShamAY0037906-ara1,3
openiti:0001CurwaIbnWard.Diwan,0001CurwaIbnWard.Diwan,Multiple OpenITI digital versions of one work,0001CurwaIbnWard.Diwan.JK007521-ara1 | 0001CurwaIbnWard.Diwan.ShamAY0037959-ara1,2
openiti:0001HarithIbnHilliza.Diwan,0001HarithIbnHilliza.Diwan,Multiple OpenITI digital versions of one work,0001HarithIbnHilliza.Diwan.JK007505-ara1 | 0001HarithIbnHilliza.Diwan.ShamAY0037848-ara1,2
openiti:0001HatimTai.Diwan,0001HatimTai.Diwan,Multiple OpenITI digital versions of one work,0001HatimTai.Diwan.JK007514-ara1 | 0001HatimTai.Diwan.ShamAY0037913-ara1,2
openiti:0001ImruQaysIbnHujr.Diwan,0001ImruQaysIbnHujr.Diwan,Multiple OpenITI digital versions of one work,0001ImruQaysIbnHujr.Diwan.JK007512-ara1 | 0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,2
openiti:0001LaqitIbnYacmur.Diwan,0001LaqitIbnYacmur.Diwan,Multiple OpenITI digital versions of one work,0001LaqitIbnYacmur.Diwan.JK007528-ara1 | 0001LaqitIbnYacmur.Diwan.ShamAY0037835-ara1,2
openiti:0001MuhalhilIbnRabica.Diwan,0001MuhalhilIbnRabica.Diwan,Multiple OpenITI digital versions of one work,0001MuhalhilIbnRabica.Diwan.JK007529-ara1 | 0001MuhalhilIbnRabica.Diwan.ShamAY0037862-ara1,2
openiti:0001MuthaqqibCabdi.Diwan,0001MuthaqqibCabdi.Diwan,Multiple OpenITI digital versions of one work,0001MuthaqqibCabdi.Diwan.JK007510-ara1 | 0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1,2
openiti:0001NabighaDhubyani.Diwan,0001NabighaDhubyani.Diwan,Multiple OpenITI digital versions of one work,0001NabighaDhubyani.Diwan.JK007511-ara1 | 0001NabighaDhubyani.Diwan.ShamAY0037896-ara1,2
openiti:0001QaysIbnKhatim.Diwan,0001QaysIbnKhatim.Diwan,Multiple OpenITI digital versions of one work,0001QaysIbnKhatim.Diwan.JK007527-ara1 | 0001QaysIbnKhatim.Diwan.ShamAY0037907-ara1,2
openiti:0001Quran.Mushaf,0001Quran.Mushaf,Multiple OpenITI digital versions of one work,0001Quran.Mushaf.QuranAnalysis001-ara1 | 0001Quran.Mushaf.Shia000001-ara1 | 0001Quran.Mushaf.Tanzil001-ara1,3
