provider_id,provider_name,provider_type,tier,country,institutional_owner,homepage,catalog_url,search_url,api_docs_url,api_base_url,bulk_data_url,metadata_download_url,terms_url,rights_url,credential_required,api_key_required,pagination_method,rate_limit_if_known,bulk_access_available,commercial_reuse_notes,redistribution_notes,preferred_ingestion_method,verification_status
openiti_kitab,OpenITI / KITAB Project,academic_digital_humanities_corpus,TIER_1,Multi (Austria/UK-Qatar/USA),University of Vienna; Aga Khan University ISMC; University of Maryland,https://openiti.org/,https://kitab-project.org/metadata,https://kitab-corpus-metadata.azurewebsites.net/,https://kitab-project.org/docs/openITI,https://github.com/OpenITI/RELEASE,https://zenodo.org/records/17767721,https://zenodo.org/records/17767721/files/OpenITI_metadata_2025-1-9.tsv?download=1,https://kitab-project.org/docs/openITI,https://kitab-project.org/docs/openITI,FALSE,FALSE,,,TRUE,CC BY-NC-SA 4.0,BY-NC-SA; preserve URI/provenance,official release metadata + tagged text paths,VERIFIED_2026-09-23_RELEASE_2025.1.9
ia_mcgill_islamic_studies,McGill University Islamic Studies Library Collection (hosted on Internet Archive),university_library_collection,TIER2,Canada,McGill University,https://blogs.library.mcgill.ca/islamicstudieslibrary/,https://archive.org (search uploader/collection for McGill Islamic Studies),https://archive.org/advancedsearch.php,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://blogs.library.mcgill.ca/islamicstudieslibrary/,per-item on IA,FALSE,FALSE,,,TRUE,"Institutional collection of 395 manuscripts, lithographs and rare books in Arabic/Persian/Ottoman Turkish/Urdu (1488-2013 CE) per McGill library blog announcement",Announced as openly browsable/downloadable (PDF) via IA book reader - verify per-item terms before bulk mirroring,browse_ia_collection_then_bulk_export_matching_items,VERIFIED_2026-09-23
bibliotheca_alexandrina_dar,Bibliotheca Alexandrina - Digital Assets Repository (DAR),national_library_repository,TIER2,Egypt,Bibliotheca Alexandrina,http://www.bibalex.org,http://dar.bibalex.org,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,http://dar.bibalex.org/webpages/aboutdar.jsf,per-item,UNVERIFIED,FALSE,UNVERIFIED,,,"~24,000 Arabic ebooks reported as full-text open access; separately, ~200,000 Arabic titles offered only as a 5%/min-10-page preview because they remain in copyright",Two-tier collection - open-access subset only should be ingested; preview-only subset is NOT a digital version candidate,item_level_catalog_browse_split_by_access_tier,VERIFIED_2026-09-23 (secondary source: McGill Islamic Studies Library blog),
sunnah_com,Sunnah.com,official_hadith_project,TIER1,USA (community-run, internationally used),Sunnah.com team,https://sunnah.com,https://sunnah.com,https://sunnah.com,https://sunnah.stoplight.io/docs/api/,https://api.sunnah.com,"NOT_AVAILABLE (offline dump ""not available yet"" per official developers page as of verification date)",https://github.com/sunnah-com,https://sunnah.com/about,https://sunnah.com/about,TRUE,,,TRUE,FALSE,Official page states mass reproduction of the dataset is NOT permitted,"Explicitly: partial API access only, granted per-request via GitHub issue; full corpus dump not offered; do not bulk-scrape the website as a substitute",request_api_key_via_github_issue_then_call_documented_endpoints_with_attribution
tanzil_project,Tanzil Project (Quran text),official_project,TIER1,International (hosted project, not tied to one state),Tanzil Project,https://tanzil.net,https://tanzil.net/download/,https://tanzil.net,https://tanzil.net/docs (per download page),https://tanzil.net/download/,https://tanzil.net/download/,https://tanzil.net/docs/license,https://tanzil.net/docs/license,FALSE,FALSE,,,TRUE,Text may be freely copied/distributed on a non-commercial basis PROVIDED it is unmodified and complete - re-confirm exact clause wording at rights_url before shipping,Redistribution allowed only if text is kept unmodified and complete; any typographic/textual change requires separate permission per project terms,direct_bulk_download_txt_xml_sql_then_checksum_verify_unmodified,VERIFIED_2026-09-23
quran_foundation_api,Quran Foundation Content & Audio API (successor to the Quran.com API),official_project,TIER1,International (Quran.com / Quran Foundation),Quran Foundation,https://quran.com,https://quran.com,https://api-docs.quran.foundation,https://api.quran.foundation (per docs),NOT_PUBLIC - credentialed API only,UNVERIFIED,https://api-docs.quran.foundation,UNVERIFIED,TRUE,TRUE,FALSE,,,Backend-only credentialed API (client_id/client_secret); provides chapter/verse text, translations, and audio resource URLs,Terms not independently re-verified this session - review before redistributing audio/text pulled via this API,register_developer_app_obtain_client_credentials_call_content_and_audio_apis
everyayah_mirror_maqra,everyayah.com Quran recitation archive (verified mirror: Maqra project),community_audio_archive,TIER6,International,Independent (originally versebyversequran.com),https://everyayah.com,https://huggingface.co/maqra-project,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://huggingface.co/datasets/maqra-project/maqra,per-reciter _upstream notes,per-reciter (several explicitly state UNKNOWN license),UNVERIFIED,FALSE,FALSE,,,TRUE,At least one reciter set's upstream note states the recitation license is literally 'UNKNOWN'; the only found written terms (for timing files) require backlink attribution and do not resolve to a live license page,DO NOT treat wide mirroring (incl. an Internet Archive copy) as evidence of redistribution rights - mirror maintainers themselves say they 'grant no rights ... because they hold none',treat_as_NEEDS_LICENSE_REVIEW_per_reciter_contact_original_rights_holder_before_ingestion,VERIFIED_2026-09-23
qatar_digital_library,Qatar Digital Library (QDL),national_partnership_archive,TIER2,Qatar / United Kingdom,Qatar Foundation + Qatar National Library + British Library,https://www.qdl.qa,https://www.qdl.qa/en,https://www.qdl.qa/en/search,UNVERIFIED - no public API docs located this session,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.qdl.qa (about/terms page not independently opened this session),per-item rights statement,UNVERIFIED,FALSE,,,UNVERIFIED,"Free, open-access online archive; includes roughly 25,000 pages of medieval Arab Islamic-science manuscripts plus much larger India Office Records holdings",No confirmed bulk API/IIIF manifest list found this session - treat bulk access as UNVERIFIED and pursue item-level or direct institutional inquiry,item_level_browse_pending_confirmation_of_bulk_or_IIIF_access,PARTIALLY_VERIFIED_2026-09-23
al_maktaba_al_shamela,Al-Maktaba al-Shamela (shamela.ws),community_digital_library,TIER6,Community project (launched Saudi/Gulf-region user base per Wikipedia),Al-Maktaba al-Shamela Foundation,https://shamela.ws,https://shamela.ws,https://shamela.ws,NOT_OFFICIALLY_PUBLISHED - only third-party reverse-engineered API wrappers found,third-party only (unofficial),NOT_AVAILABLE_OFFICIALLY,NOT_AVAILABLE_OFFICIALLY,UNVERIFIED - no public terms/license page located this session,UNVERIFIED,UNVERIFIED,FALSE,,,UNVERIFIED,"Large Arabic classical-text library (desktop/mobile app plus website) since 2005; several third-party libraries exist to read/download its v4 API, but no official redistribution license was located",No official redistribution rights confirmed this session; OpenITI has already separately sourced and rights-cleared a number of texts that originated from Shamela (see OpenITI URI convention e.g. ...Shamela0006896-ara1) - PREFER pulling those titles via OpenITI rather than scraping Shamela directly,NEEDS_LICENSE_REVIEW_do_not_bulk_scrape_prefer_OpenITI_where_overlap_exists,PARTIALLY_VERIFIED_2026-09-23
huggingface_islamic_scholars_ds,"""Islamic-Scholars-data"" community dataset (Hugging Face, user Mahadih534)",community_dataset,TIER7,Unknown (community contributor),Mahadih534 (Hugging Face user),https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,N/A,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,https://huggingface.co/datasets/Mahadih534/Islamic-Scholars-data,UNVERIFIED,UNVERIFIED,FALSE,TRUE,UNVERIFIED,,,UNVERIFIED - provenance/sourcing methodology of the dataset itself is not documented in what was reviewed,"Discovery-only lead for the scholar registry (~40,000+ rows observed); every row must be independently cross-checked against an authority source (Wikidata/VIAF) before use - do not import as-is",cross_reference_against_wikidata_before_any_use,VERIFIED_EXISTENCE_ONLY_2026-09-23,
