work_id,canonical_title_ar,canonical_title_en,alternate_titles,normalized_title_ar,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url,openiti_book_uri,version_count,has_uncorrected_ocr,seed_work_ids
openiti_work_0001AbuTalibCabdManaf.Diwan,ديوان أبو طالب,Diwan,"[""ديوان أبي طالب""]",ديوان ابو طالب,openiti_person_0001AbuTalibCabdManaf,أبو طالب,Abu Talib Cabd Manaf,,UNCLASSIFIED_OPENITI,,"[""GAL@pseudo-calid"",""GAL@literature-national"",""GAL@period-muhammad"",""GAL@literature-arabic"",""_SHICR_JAHILI"",""_SHICR"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""ShamAY@الدواوين الشعرية - مرقم آليا"",""born@JaziratArab_RE"",""RECONSTRUCTED_TEXT"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001AbuTalibCabdManaf.Diwan,2,False,[]
openiti_work_0001AwsIbnHajar.Diwan,ديوان أوس بن حجر,Diwan,[],ديوان اوس بن حجر,openiti_person_0001AwsIbnHajar,أوس بن حجر,Aws Ibn Hajar,,UNCLASSIFIED_OPENITI,,"[""GAL@literature-national"",""GAL@literature-arabic"",""GAL@period-premuhammad"",""_SHICR_JAHILI"",""_SHICR"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""ShamAY@الدواوين الشعرية - مرقم آليا"",""born@JaziratArab_RE"",""RECONSTRUCTED_TEXT"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001AwsIbnHajar.Diwan,2,False,[]
openiti_work_0001CalqamaFahl.Diwan,ديوان علقمة الفحل,Diwan,"[""ديوان علقمة الفحل""]",ديوان علقمة الفحل,openiti_person_0001CalqamaFahl,علقمة الفحل,Calqama Fahl,,UNCLASSIFIED_OPENITI,,"[""ShamAY@الدواوين الشعرية - مرقم آليا"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""born@JaziratArab_RE"",""RECONSTRUCTED_TEXT"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CalqamaFahl.Diwan,2,False,[]
openiti_work_0001CamrIbnKulthum.Diwan,ديوان عمرو بن كلثوم,Diwan,"[""ديوان عمرو بن كلثوم""]",ديوان عمرو بن كلثوم,openiti_person_0001CamrIbnKulthum,عمرو بن كلثوم,Camr Ibn Kulthum,,UNCLASSIFIED_OPENITI,,"[""ShamAY@الدواوين الشعرية - مرقم آليا"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""born@JaziratArab_RE"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CamrIbnKulthum.Diwan,2,False,[]
openiti_work_0001CamrIbnKulthum.Mucallaqa,معلقة عمرو بن كلثوم,Mucallaqa,[],معلقة عمرو بن كلثوم,openiti_person_0001CamrIbnKulthum,عمرو بن كلثوم,Camr Ibn Kulthum,,UNCLASSIFIED_OPENITI,,"[""ShamAY@الدواوين الشعرية - مرقم آليا"",""born@JaziratArab_RE"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CamrIbnKulthum.Mucallaqa,1,False,[]
openiti_work_0001CamrIbnMalik.Diwan,ديوان عمرو بن مالك,Diwan,[],ديوان عمرو بن مالك,openiti_person_0001CamrIbnMalik,عمرو بن مالك,Camr Ibn Malik,,UNCLASSIFIED_OPENITI,,"[""GAL@literature-national"",""GAL@literature-arabic"",""GAL@period-premuhammad"",""_SHICR_JAHILI"",""_SHICR"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""born@JaziratArab_RE"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CamrIbnMalik.Diwan,1,False,[]
openiti_work_0001CamrIbnQumaya.Diwan,ديوان عمرو بن قميئة,Diwan,"[""ديوان عمرو بن قميئة""]",ديوان عمرو بن قميئة,openiti_person_0001CamrIbnQumaya,عمرو بن قميئة,Camr Ibn Qumaya,,UNCLASSIFIED_OPENITI,,"[""GAL@literature-national"",""GAL@literature-arabic"",""GAL@period-premuhammad"",""_SHICR_JAHILI"",""_SHICR"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""ShamAY@الدواوين الشعرية - مرقم آليا"",""born@JaziratArab_RE"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CamrIbnQumaya.Diwan,2,False,[]
openiti_work_0001CantaraIbnShaddad.Diwan,ديوان عنترة بن شداد,Diwan,"[""ديوان عنترة بن شداد""]",ديوان عنترة بن شداد,openiti_person_0001CantaraIbnShaddad,عنترة بن شداد,Cantara Ibn Shaddad,,UNCLASSIFIED_OPENITI,,"[""ShamAY@الدواوين الشعرية - مرقم آليا"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""born@JaziratArab_RE"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CantaraIbnShaddad.Diwan,3,False,[]
openiti_work_0001CantaraIbnShaddad.Mucallaqa,معلقة عنترة,Mucallaqa,[],معلقة عنترة,openiti_person_0001CantaraIbnShaddad,عنترة بن شداد,Cantara Ibn Shaddad,,UNCLASSIFIED_OPENITI,,"[""ShamAY@الدواوين الشعرية - مرقم آليا"",""born@JaziratArab_RE"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CantaraIbnShaddad.Mucallaqa,1,False,[]
openiti_work_0001CurwaIbnWard.Diwan,ديوان عروة بن الورد,Diwan,"[""ديوان عروة بن الورد""]",ديوان عروة بن الورد,openiti_person_0001CurwaIbnWard,عروة بن الورد,Curwa Ibn Ward,,UNCLASSIFIED_OPENITI,,"[""ShamAY@الدواوين الشعرية - مرقم آليا"",""JK@جاهلي"",""JK@دواوين الشعر العربي"",""born@JaziratArab_RE"",""PRIMARY_VERSION"",""CLEANED_VERSION""]",OpenITI date code 0001,ara,OpenITI work record; edition/version objects are separate.,OPENITI_RELEASE_WORK,OpenITI metadata 2025.1.9,https://zenodo.org/records/17767721,0001CurwaIbnWard.Diwan,2,False,[]
