edition_id,work_id,edition_title,publisher,publication_city,publication_country,publication_year,edition_number,volume_count,editor,reviewer,translator,isbn,series,print_notes,bibliographic_record_url
openiti_edition_LAL2018100901,openiti_work_0001CantaraIbnShaddad.Diwan,ديوان عنترة بن شداد,,,,,,,,,,,,https://www.worldcat.org/nl/title/1088803462 :: جيمس مونتغنري :: James E. Montgomery :: New York University Press,https://www.worldcat.org/nl/title/1088803462
openiti_edition_Shamela0027112,openiti_work_0001ImruQaysIbnHujr.Diwan,ديوان امرؤ القيس,,,,,,,,,,,,دار المعرفة - بيروت,
openiti_edition_QuranAnalysis001,openiti_work_0001Quran.Mushaf,القران,,,,,,,,,,,,https://qurananalysis.com/analysis/full-quran-text.php,https://qurananalysis.com/analysis/full-quran-text.php
openiti_edition_Shamela0036422,openiti_work_0001TarafaIbnCabd.Diwan,ديوان طرفة بن العبد,,,,,,,,,,,,مهدي محمد ناصر الدين :: دار الكتب العلمية,
openiti_edition_Sham19Y0149871,openiti_work_0011CamirIbnTufayl.Diwan,ديوان عامر بن الطفيل,,,,,,,,,,,,1399 ه - 1979 م :: دار صادر - بيروت,
openiti_edition_Shamela0035077,openiti_work_0041LabidIbnRabica.Diwan,ديوان لبيد بن ربيعة العامري,,,,,,,,,,,,دار المعرفة,
openiti_edition_Sham19Y0149482,openiti_work_0060MucawiyaIbnAbiSufyan.Diwan,ديوان معاوية بن أبي سفيان,,,,,,,,,,,,الأولى، 1996 م :: دار صادر - بيروت,
openiti_edition_Sham19Y0149485,openiti_work_0060SuwaydIbnAbiKahil.Diwan,ديوان سويد بن أبي كاهل اليشكري,,,,,,,,,,,,الأولى، 1972 م :: ساعدت وزارة الإعلام على نشره,
openiti_edition_Sham19Y0149016,openiti_work_0063AbuDihbilJumahi.Diwan,ديوان أبي دهبل الجمحي,,,,,,,,,,,,عبد العظيم عبد المحسن :: الأولى، 1392 ه - 1972 م :: مطبعة القضاء في النجف الأشرف,
openiti_edition_Zaydiyya0000300,openiti_work_0068CabdAllahIbnCabbas.GharibQuran,غريب القرآن في شعر العرب ((مسائل نافع بن الأزرق لعبد الله بن عباس - رضي الله عنه وعن أبيه)),,,,,,,,,,,,عبدالكريم جدبان.,
openiti_edition_Sham19Y0149874,openiti_work_0080LaylaAkhyaliyya.Diwan,ديوان ليلى الأخيلية,,,,,,,,,,,,وزارة الثقافة والإرشاد - مديرية الثقافة العامة، العراق,
openiti_edition_Shia001265,openiti_work_0085SulaymIbnQaysHilali.KitabSulaym,كتاب سليم بن قيس,,,,,,,,,,,,محمد باقر الأنصاري الزنجاني,
openiti_edition_JK000459,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,عبدالرحمن الطاهر محمد السورتي :: بيروت :: المنشورات العلمية,
openiti_edition_ShamAY0034071,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,عبدالرحمن الطاهر محمد السورتي :: المنشورات العلمية - بيروت,
openiti_edition_Shamela0012810,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,الدكتور محمد عبد السلام أبو النيل :: دار الفكر الإسلامي الحديثة، مصر,
openiti_edition_Shia002456Vols,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,عبد الرحمن الطاهر بن محمد السورتي - مجمع البحوث الإسلامية - إسلام آباد,
openiti_edition_JK000644,openiti_work_0110HasanBasri.FadailMakka,فضائل مكة,,,,,,,,,,,,سامي مكي العاني :: الكويت :: 1400 :: مكتبة الفلاح,
openiti_edition_Shamela0005722,openiti_work_0110HasanBasri.FadailMakka,فضائل مكة,,,,,,,,,,,,http://www.worldcat.org/oclc/8850761 :: سامي مكي العاني :: مكتبة الفلاح - الكويت,http://www.worldcat.org/oclc/8850761
openiti_edition_Shia003454,openiti_work_0110HasanBasri.FadailMakka,فضائل مكة,,,,,,,,,,,,سامي مكي العاني :: 1400,
openiti_edition_ShamAY0035241,openiti_work_0110HasanBasri.TarghibMakka,الترغيب في الإقامة بمكة للحسن البصري,,,,,,,,,,,,الدكتور جميل عبد الله عويضة,
openiti_edition_JK006856,openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,,,,,,,,,,,,بيروت :: دار الفكر,
openiti_edition_Shamela0021615,openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,,,,,,,,,,,,شركة مكتبة ومطبعة مصطفى البابي الحلبي وأولاده,
openiti_edition_Shia004640Vols,openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,,,,,,,,,,,,1359 - 1940 م,
openiti_edition_Sham19Y0133412,openiti_work_0110JarirShacir.Diwan,ديوان جرير,,,,,,,,,,,,د. نعمان محمد أمين طه :: الثالثة :: دار المعارف، القاهرة - مصر,
openiti_edition_JK000163,openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,,,,,,,,,,,,د. حاتم صالح الضامن :: بيروت :: 1404 :: مؤسسة الرسالة,
openiti_edition_Shamela0008491,openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,,,,,,,,,,,,حاتم صالح الضامن، كلية الآداب - جامعة بغداد :: مؤسسة الرسالة,
openiti_edition_Shia002458,openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,,,,,,,,,,,,الدكتور حاتم صالح الضامن :: 1409,
openiti_edition_Zaydiyya0000052,openiti_work_0122ZaydIbnCali.Musnad,مسند,,,,,,,,,,,,http://www.worldcat.org/oclc/745191363,http://www.worldcat.org/oclc/745191363
openiti_edition_JK000872,openiti_work_0124IbnShihabZuhri.TanzilQuran,تنزيل القرآن,,,,,,,,,,,,د. صلاح الدين المنجد :: بيروت :: 1980 :: دار الكتاب الجديد,
openiti_edition_ShamAY0034089,openiti_work_0124IbnShihabZuhri.TanzilQuran,تنزيل القرآن,,,,,,,,,,,,د. صلاح الدين المنجد :: دار الكتاب الحديث - بيروت,
openiti_edition_Shamela0026887,openiti_work_0124IbnShihabZuhri.TanzilQuran,تنزيل القرآن,,,,,,,,,,,,حاتم صالح الضامن :: مؤسسة الرسالة,
openiti_edition_Shamela0030310,openiti_work_0128IbnAbiHabibMisri.AhadithYazid,أحاديث يزيد بن أبي حبيب المصري,,,,,,,,,,,,حمزة أحمد الزين :: 2004م :: دار الحديث - القاهرة,
