manuscript_id,work_id,record_type,institution,collection,shelfmark,catalog_title,catalog_url,digitized_url,iiif_manifest,folio_count,date,place,scribe,material,script,language,description,rights_statement,rights_url,download_allowed,local_hosting_allowed,attribution,image_resolution,ocr_available,rights_status,ingestion_priority,transcription_url
openiti_mss_MS0000Unknown.FieldCT133_4.IEDC1261-mpp1,,TRANSCRIPTION,Unknown collection,,location unknown (field no. CT-133/4),,https://www.invisible-east.org/corpus/1261/,https://www.invisible-east.org/corpus/1261/,,,,Unknown,,,,mpp,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0000Unknown.FieldCT133_4.IEDC1261-mpp1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0000Unknown/MS0000Unknown.FieldCT133_4/MS0000Unknown.FieldCT133_4.IEDC1261-mpp1
openiti_mss_MS0000UnknownPrivate.HuartI.IEDC0150-ara1,,TRANSCRIPTION,Private Collection,,Huart I,,https://www.invisible-east.org/corpus/150/,https://www.invisible-east.org/corpus/150/,,,,unknown,,,,ara,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0000UnknownPrivate.HuartI.IEDC0150-ara1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0000UnknownPrivate/MS0000UnknownPrivate.HuartI/MS0000UnknownPrivate.HuartI.IEDC0150-ara1
openiti_mss_MS0000UnknownPrivate.HuartII.IEDC0151-ara1ugo1,,TRANSCRIPTION,Private Collection,,Huart II,,https://www.invisible-east.org/corpus/151/,https://www.invisible-east.org/corpus/151/,,,,unknown,,,,"ara,ugo",OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0000UnknownPrivate.HuartII.IEDC0151-ara1ugo1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0000UnknownPrivate/MS0000UnknownPrivate.HuartII/MS0000UnknownPrivate.HuartII.IEDC0151-ara1ugo1
openiti_mss_MS0000UnknownPrivate.HuartIII.IEDC0152-ara1ugo1,,TRANSCRIPTION,Private Collection,,Huart III,,https://www.invisible-east.org/corpus/152/,https://www.invisible-east.org/corpus/152/,,,,unknown,,,,"ara,ugo",OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0000UnknownPrivate.HuartIII.IEDC0152-ara1ugo1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0000UnknownPrivate/MS0000UnknownPrivate.HuartIII/MS0000UnknownPrivate.HuartIII.IEDC0152-ara1ugo1
openiti_mss_MS0000UnknownPrivate.SimsWilliamsJg.IEDC0025-bac1,,TRANSCRIPTION,Private Collection,,Sims-Williams jg,,https://www.invisible-east.org/corpus/25/,https://www.invisible-east.org/corpus/25/,,,,unknown,,,,bac,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0000UnknownPrivate.SimsWilliamsJg.IEDC0025-bac1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0000UnknownPrivate/MS0000UnknownPrivate.SimsWilliamsJg/MS0000UnknownPrivate.SimsWilliamsJg.IEDC0025-bac1
openiti_mss_MS0000UnknownPrivate.SimsWilliamsJj.IEDC0014-bac1,,TRANSCRIPTION,Private Collection,,Sims-Williams jj,,https://www.invisible-east.org/corpus/14/,https://www.invisible-east.org/corpus/14/,,,,unknown,,,,bac,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0000UnknownPrivate.SimsWilliamsJj.IEDC0014-bac1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0000UnknownPrivate/MS0000UnknownPrivate.SimsWilliamsJj/MS0000UnknownPrivate.SimsWilliamsJj.IEDC0014-bac1
openiti_mss_MS0000UnknownPrivate.SimsWilliamsUv.IEDC0013-bac1,,TRANSCRIPTION,Private Collection,,Sims-Williams Uv,,https://www.invisible-east.org/corpus/13/,https://www.invisible-east.org/corpus/13/,,,,unknown,,,,bac,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0000UnknownPrivate.SimsWilliamsUv.IEDC0013-bac1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0000UnknownPrivate/MS0000UnknownPrivate.SimsWilliamsUv/MS0000UnknownPrivate.SimsWilliamsUv.IEDC0013-bac1
openiti_mss_MS0001ChicagoISAC.ISACMA154067FieldCT205_1.IEDC1267-mpp1,,TRANSCRIPTION,Institute for the Study of Ancient Cultures,,ISACM A154067 (field no. CT-205.1),,https://www.invisible-east.org/corpus/1267/,https://www.invisible-east.org/corpus/1267/,,,,Chicago,,,,mpp,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0001ChicagoISAC.ISACMA154067FieldCT205_1.IEDC1267-mpp1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0001ChicagoISAC/MS0001ChicagoISAC.ISACMA154067FieldCT205_1/MS0001ChicagoISAC.ISACMA154067FieldCT205_1.IEDC1267-mpp1
openiti_mss_MS0001ChicagoISAC.ISACMA154068FieldCT205_4.IEDC1270-mpp1,,TRANSCRIPTION,Institute for the Study of Ancient Cultures,,ISACM A154068 (field no. CT-205/4),,https://www.invisible-east.org/corpus/1270/,https://www.invisible-east.org/corpus/1270/,,,,Chicago,,,,mpp,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0001ChicagoISAC.ISACMA154068FieldCT205_4.IEDC1270-mpp1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0001ChicagoISAC/MS0001ChicagoISAC.ISACMA154068FieldCT205_4/MS0001ChicagoISAC.ISACMA154068FieldCT205_4.IEDC1270-mpp1
openiti_mss_MS0001ChicagoISAC.ISACMA154069FieldCT205_3a.IEDC1268-mpp1,,TRANSCRIPTION,Institute for the Study of Ancient Cultures,,ISACM A154069 (field no. CT-205/3a),,https://www.invisible-east.org/corpus/1268/,https://www.invisible-east.org/corpus/1268/,,,,Chicago,,,,mpp,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0001ChicagoISAC.ISACMA154069FieldCT205_3a.IEDC1268-mpp1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0001ChicagoISAC/MS0001ChicagoISAC.ISACMA154069FieldCT205_3a/MS0001ChicagoISAC.ISACMA154069FieldCT205_3a.IEDC1268-mpp1
openiti_mss_MS0001ChicagoISAC.ISACMA154070FieldCT205_3b.IEDC1269-mpp1,,TRANSCRIPTION,Institute for the Study of Ancient Cultures,,ISACM A154070 (field no. CT-205/3b),,https://www.invisible-east.org/corpus/1269/,https://www.invisible-east.org/corpus/1269/,,,,Chicago,,,,mpp,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0001ChicagoISAC.ISACMA154070FieldCT205_3b.IEDC1269-mpp1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0001ChicagoISAC/MS0001ChicagoISAC.ISACMA154070FieldCT205_3b/MS0001ChicagoISAC.ISACMA154070FieldCT205_3b.IEDC1269-mpp1
