person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
openiti_person_0001AbuTalibCabdManaf,أبو طالب,Abu Talib Cabd Manaf,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],1,[],,,,0001AbuTalibCabdManaf,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001AwsIbnHajar,أوس بن حجر,Aws Ibn Hajar,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],1,[],,,,0001AwsIbnHajar,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001CalqamaFahl,علقمة الفحل,Calqama Fahl,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],1,[],,,,0001CalqamaFahl,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001CamrIbnKulthum,عمرو بن كلثوم,Camr Ibn Kulthum,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],2,[],,,,0001CamrIbnKulthum,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001CamrIbnMalik,عمرو بن مالك,Camr Ibn Malik,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],1,[],,,,0001CamrIbnMalik,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001CamrIbnQumaya,عمرو بن قميئة,Camr Ibn Qumaya,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],1,[],,,,0001CamrIbnQumaya,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001CantaraIbnShaddad,عنترة بن شداد,Cantara Ibn Shaddad,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],2,[],,,,0001CantaraIbnShaddad,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001CurwaIbnWard,عروة بن الورد,Curwa Ibn Ward,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],1,[],,,,0001CurwaIbnWard,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001HajibIbnMudallil,حاجب بن حبيب,Hajib Ibn Mudallil,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],1,[],,,,0001HajibIbnMudallil,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_0001HarithIbnHilliza,الحارث بن حلزة,Harith Ibn Hilliza,,,,,,,,OpenITI date code 0001,,"[""author""]",[],[],[],2,[],,,,0001HarithIbnHilliza,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
