duplicate_group_id,work_id,version_count,digital_version_ids,duplicate_basis
dup_openiti_work_0001AbuTalibCabdManaf.Diwan,openiti_work_0001AbuTalibCabdManaf.Diwan,2,"[""openiti_dv_0001AbuTalibCabdManaf.Diwan.JK007501-ara1"",""openiti_dv_0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001AwsIbnHajar.Diwan,openiti_work_0001AwsIbnHajar.Diwan,2,"[""openiti_dv_0001AwsIbnHajar.Diwan.JK007502-ara1"",""openiti_dv_0001AwsIbnHajar.Diwan.ShamAY0037914-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001CalqamaFahl.Diwan,openiti_work_0001CalqamaFahl.Diwan,2,"[""openiti_dv_0001CalqamaFahl.Diwan.JK007522-ara1"",""openiti_dv_0001CalqamaFahl.Diwan.ShamAY0037936-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001CamrIbnKulthum.Diwan,openiti_work_0001CamrIbnKulthum.Diwan,2,"[""openiti_dv_0001CamrIbnKulthum.Diwan.JK007524-ara1"",""openiti_dv_0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001CamrIbnQumaya.Diwan,openiti_work_0001CamrIbnQumaya.Diwan,2,"[""openiti_dv_0001CamrIbnQumaya.Diwan.JK007523-ara1"",""openiti_dv_0001CamrIbnQumaya.Diwan.ShamAY0037903-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001CantaraIbnShaddad.Diwan,openiti_work_0001CantaraIbnShaddad.Diwan,3,"[""openiti_dv_0001CantaraIbnShaddad.Diwan.JK007526-ara1"",""openiti_dv_0001CantaraIbnShaddad.Diwan.LAL2018100901-ara2"",""openiti_dv_0001CantaraIbnShaddad.Diwan.ShamAY0037906-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001CurwaIbnWard.Diwan,openiti_work_0001CurwaIbnWard.Diwan,2,"[""openiti_dv_0001CurwaIbnWard.Diwan.JK007521-ara1"",""openiti_dv_0001CurwaIbnWard.Diwan.ShamAY0037959-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001HarithIbnHilliza.Diwan,openiti_work_0001HarithIbnHilliza.Diwan,2,"[""openiti_dv_0001HarithIbnHilliza.Diwan.JK007505-ara1"",""openiti_dv_0001HarithIbnHilliza.Diwan.ShamAY0037848-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001HatimTai.Diwan,openiti_work_0001HatimTai.Diwan,2,"[""openiti_dv_0001HatimTai.Diwan.JK007514-ara1"",""openiti_dv_0001HatimTai.Diwan.ShamAY0037913-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001ImruQaysIbnHujr.Diwan,openiti_work_0001ImruQaysIbnHujr.Diwan,2,"[""openiti_dv_0001ImruQaysIbnHujr.Diwan.JK007512-ara1"",""openiti_dv_0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001LaqitIbnYacmur.Diwan,openiti_work_0001LaqitIbnYacmur.Diwan,2,"[""openiti_dv_0001LaqitIbnYacmur.Diwan.JK007528-ara1"",""openiti_dv_0001LaqitIbnYacmur.Diwan.ShamAY0037835-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001MuhalhilIbnRabica.Diwan,openiti_work_0001MuhalhilIbnRabica.Diwan,2,"[""openiti_dv_0001MuhalhilIbnRabica.Diwan.JK007529-ara1"",""openiti_dv_0001MuhalhilIbnRabica.Diwan.ShamAY0037862-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001MuthaqqibCabdi.Diwan,openiti_work_0001MuthaqqibCabdi.Diwan,2,"[""openiti_dv_0001MuthaqqibCabdi.Diwan.JK007510-ara1"",""openiti_dv_0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1""]",Same OpenITI work URI; retain versions separately.
