dataset_id,provider_id,name,domain,description,docs_url,endpoint,auth_type,credential_required,query_examples,pagination,rate_limit,response_format,languages,record_count_if_known,bulk_dump,bulk_dump_url,license,rights_url,last_verified
openiti_release_2025_1_9,openiti_kitab,OpenITI release 2025.1.9,Islamicate full-text corpus,"Official OpenITI release with Arabic, Persian and MSS subcorpora.",https://kitab-project.org/OpenITI-Release-version-2025-1-9/,https://zenodo.org/api/records/17767721,Public read,false,"[""GET record metadata; download TSV/ZIP""]",N/A,UNVERIFIED,JSON metadata + TSV + ZIP,"[""Arabic"",""Persian"",""Middle Persian"",""Bactrian"",""Judaeo-Persian""]",14107,true,https://zenodo.org/records/17767721/files/OpenITI_data_2025-1-9.zip?download=1,CC-BY-NC-SA-4.0,https://zenodo.org/records/17767721,2026-09-23
ia_advanced_search,internet_archive,Internet Archive Advanced Search API,Catalogue discovery,Metadata search endpoint; sorted page traversal is bounded.,https://archive.org/help/aboutsearch.htm,https://archive.org/advancedsearch.php,Public read,false,"[""mediatype:texts AND language:Arabic""]",page + rows; use scrape API for deep traversal,NULL,JSON,"[""Arabic"",""English"",""multilingual""]",Candidate counts only,false,NULL,Item-dependent,https://help.archive.org/help/rights/,2026-09-23
ia_scraping_api,internet_archive,Internet Archive Scraping API,Deep catalogue discovery,Cursor-based search for deep traversal.,https://archive.org/help/aboutsearch.htm,https://archive.org/services/search/v1/scrape,Public read,false,"[""fields=identifier,title,creator,licenseurl""]",cursor,Respect 429/Retry-After,JSON,"[""multilingual""]",NULL,false,NULL,Item-dependent,https://help.archive.org/help/rights/,2026-09-23
ia_item_metadata_api,internet_archive,Internet Archive Item Metadata API,Item/package metadata and files,One item identifier per request including files[] manifest.,https://archive.org/developers/metadata.html,https://archive.org/metadata/{identifier},Public read,false,"[""https://archive.org/metadata/ArIslamicbooks""]",N/A,Respect bot guidance,JSON,"[""item-dependent""]",NULL,false,NULL,Item-dependent,https://help.archive.org/help/rights/,2026-09-23
hathitrust_hathifiles,hathitrust,Hathifiles,Complete item metadata inventory,Monthly full and daily update tab-delimited metadata including rights/access fields.,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/hathifiles/,https://www.hathitrust.org/files/hathifiles/hathi_file_list.json,Public metadata,false,"[""Select hathi_full_ snapshot then apply hathi_upd_ deltas""]","Files, not API pages",NULL,JSON list + gzip TSV,"[""multilingual""]",Provider says every item is described,true,https://www.hathitrust.org/files/hathifiles/hathi_file_list.json,CC0 for HathiTrust metadata contributions subject to caveat,https://www.hathitrust.org/member-libraries/resources-for-librarians/metadata-in-the-digital-library/metadata-sharing-and-use-policy/,2026-09-23
hathitrust_oai_pmh,hathitrust,HathiTrust OAI-PMH,Structured bibliographic harvest,MARC21 or Dublin Core XML with viewability-based sets.,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/oai-feed/,https://oai.hathitrust.org/,Public metadata,false,"[""ListRecords&metadataPrefix=marc21&set=hathitrust:pd""]",OAI-PMH resumption token,NULL,XML,"[""multilingual""]",NULL,true,https://oai.hathitrust.org/?verb=ListRecords&metadataPrefix=marc21,Metadata policy applies,https://www.hathitrust.org/member-libraries/resources-for-librarians/metadata-in-the-digital-library/metadata-sharing-and-use-policy/,2026-09-23
hathitrust_bibliographic_api,hathitrust,HathiTrust Bibliographic API,Identifier metadata lookup,Returns record metadata plus HTIDs and rights/access strings.,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/bibliographic-api/,https://catalog.hathitrust.org/api/volumes/brief/{id_type}/{id_value}.json,Public metadata,false,"[""recordnumber/006790012.json""]",Up to 20 identifier specs per batch,NULL,JSON / MARC-XML,"[""record-dependent""]",NULL,false,Use Hathifiles/OAI-PMH,Metadata policy applies,https://www.hathitrust.org/the-collection/search-access/access-use-policy/,2026-09-23
hathitrust_research_datasets,hathitrust,HathiTrust Research Datasets,Approved bulk text research,Approval-controlled public-domain/CC research datasets; Google-digitized content has extra agreements.,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/research-datasets/,rsync after approval,Approval/agreement/static IP,true,"[""Select HTIDs via metadata then request subset""]",N/A,NULL,dataset files,"[""multilingual""]",Historical counts only,true,Approval required,Non-commercial research terms; item/digitizer caveats,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/research-datasets/,2026-09-23
google_books_volumes_api_v1,google_books,Google Books Volumes API v1,Discovery/availability,Search and Volume records with country-sensitive accessInfo.,https://developers.google.com/books/docs/v1/using,https://www.googleapis.com/books/v1/volumes,Public search docs; key/quota operational setup,NO_AUTH_HEADER_FOR_PUBLIC_SEARCH_DOCS,"[""q=صحيح البخاري&langRestrict=ar&filter=full&maxResults=40""]",startIndex; maxResults <= 40,NULL; live shared no-key request observed 429,JSON,"[""multilingual""]",NULL,false,NULL,Google Books API Terms + item-specific rights,https://developers.google.com/books/terms,2026-09-23
worldcat_search_api_v2,worldcat,WorldCat Search API,Licensed bibliographic/holdings lookup,Search/retrieve records and holdings for eligible subscribers.,https://www.oclc.org/developer/api/oclc-apis/worldcat-search-api.en.html,https://developer.api.oclc.org/wcv2,Subscription + WSKey,true,"[""Use after entitlement""]",UNVERIFIED without credentials,NULL,UNVERIFIED without credentials,"[""multilingual""]","Arabic Discovery Catalog reports 3,991,039 Arabic resources as of 2026-05; not Islamic-only",NOT_CLEARED,NULL,OCLC terms/policy,https://www.oclc.org/en/worldcat/cooperative-quality/policy.html,2026-09-23
