resource_type,resource_id,provider,work_id,priority,rights_status,storage,reason
DIGITAL_VERSION,openiti_dv_0001AbuTalibCabdManaf.Diwan.JK007501-ara1,OpenITI / KITAB Project,openiti_work_0001AbuTalibCabdManaf.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,OpenITI / KITAB Project,openiti_work_0001AbuTalibCabdManaf.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001AwsIbnHajar.Diwan.JK007502-ara1,OpenITI / KITAB Project,openiti_work_0001AwsIbnHajar.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,OpenITI / KITAB Project,openiti_work_0001AwsIbnHajar.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001CalqamaFahl.Diwan.JK007522-ara1,OpenITI / KITAB Project,openiti_work_0001CalqamaFahl.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001CalqamaFahl.Diwan.ShamAY0037936-ara1,OpenITI / KITAB Project,openiti_work_0001CalqamaFahl.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001CamrIbnKulthum.Diwan.JK007524-ara1,OpenITI / KITAB Project,openiti_work_0001CamrIbnKulthum.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,OpenITI / KITAB Project,openiti_work_0001CamrIbnKulthum.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,OpenITI / KITAB Project,openiti_work_0001CamrIbnKulthum.Mucallaqa,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
DIGITAL_VERSION,openiti_dv_0001CamrIbnMalik.Diwan.JK007525-ara1,OpenITI / KITAB Project,openiti_work_0001CamrIbnMalik.Diwan,P1,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.
